anchor,metric,mean,median,std,ci_lo_2_5,ci_hi_97_5
optimistic_base,profit_at_kstar,96111593.29532653,96109373.15211572,250755.53033419908,95636448.36210784,96632422.15465885
optimistic_base,approve_pct_kstar,100.0,100.0,0.0,100.0,100.0
optimistic_base,cutoff_pd_star,0.18945245075180067,0.19021191754313152,0.0015543496731028777,0.18535853448860112,0.19021191754313152
optimistic_base,profit_at_youden,65359856.77326427,65366999.815145776,230245.95900259787,64924690.74417357,65808492.228688
optimistic_base,approve_pct_youden,79.5930779202524,79.5984506536305,0.15651205233965368,79.29150983178972,79.9022677932747
optimistic_base,cutoff_gap,20.40692207974761,20.4015493463695,0.15651205233965368,20.097732206725293,20.70849016821028
optimistic_base,profit_uplift,30751736.52206228,30739306.478813075,295771.6329428048,30174432.55765564,31313776.174536973
optimistic_base,profit_uplift_pct,0.47051374519753314,0.47038125208879655,0.005636790677595293,0.45988959816461594,0.4809056396898467
realistic_central_boundary,profit_at_kstar,64008166.84004986,64012524.54554723,214444.28514979253,63583020.74152163,64440046.22551819
realistic_central_boundary,approve_pct_kstar,99.25321504990082,99.2518781139207,0.0501416659518308,99.1566058069252,99.3565214675059
realistic_central_boundary,cutoff_pd_star,0.24089928436425748,0.24115649957231752,0.0021607228486167336,0.23691679086706396,0.24576982975127754
realistic_central_boundary,profit_at_youden,46258147.72963905,46266865.79459277,215167.23196356813,45832904.4361181,46659034.02507262
realistic_central_boundary,approve_pct_youden,79.5930779202524,79.5984506536305,0.15651205233965368,79.29150983178972,79.9022677932747
realistic_central_boundary,cutoff_gap,19.66013712964843,19.65420838083932,0.16135370731530121,19.35894232120824,19.97126212379152
realistic_central_boundary,profit_uplift,17750019.110410806,17748067.60028572,190365.40925676998,17389087.87986177,18128697.19714303
realistic_central_boundary,profit_uplift_pct,0.3837334274826784,0.3837717864201131,0.005164777647570515,0.3739787202221428,0.3938742954418731
moderate_interior,profit_at_kstar,54397014.549208336,54394374.0345279,206035.43312289633,54010688.32467098,54809701.78054088
moderate_interior,approve_pct_kstar,95.31226982366815,95.33165695722117,0.12217994592862681,94.9907851375201,95.50033579583614
moderate_interior,cutoff_pd_star,0.1373221156190451,0.138184960749431,0.002352214680455003,0.12908618677430936,0.13877661821033116
moderate_interior,profit_at_youden,48937095.24874961,48940130.46350902,219665.00300153755,48513674.53434091,49346159.86451618
moderate_interior,approve_pct_youden,79.5930779202524,79.5984506536305,0.15651205233965368,79.29150983178972,79.9022677932747
moderate_interior,cutoff_gap,15.719191903415748,15.729301700844957,0.16738545566415466,15.35281990410295,16.019843191153743
moderate_interior,profit_uplift,5459919.300458726,5457890.715690419,85902.86634873264,5291325.937097159,5627298.240240585
moderate_interior,profit_uplift_pct,0.11157514882167041,0.11161795542540728,0.0019860119427416844,0.10770925241729125,0.11538413818255054
adverse_stress,profit_at_kstar,30794402.00669944,30797544.12223767,159983.4304880575,30485979.23450433,31090325.43243682
adverse_stress,approve_pct_kstar,84.8333656113827,84.86263607540569,0.252186965399238,84.30505880331735,85.27187748918425
adverse_stress,cutoff_pd_star,0.07617667406947644,0.07647511550153686,0.0012121142431014557,0.0736669033840693,0.07806269493124386
adverse_stress,profit_at_youden,30336104.884586014,30334964.365881402,161285.41521204275,30032187.900283672,30638029.137052815
adverse_stress,approve_pct_youden,79.5930779202524,79.5984506536305,0.15651205233965368,79.29150983178972,79.9022677932747
adverse_stress,cutoff_gap,5.2402876911303045,5.268090024520902,0.22690889819131949,4.793173192559381,5.636762615771468
adverse_stress,profit_uplift,458297.1221134289,459174.34920355305,24818.822356735935,408317.8680386505,505542.96136223
adverse_stress,profit_uplift_pct,0.015108301235378192,0.015119794219085702,0.0008324225701563323,0.013435983655452972,0.016711527790958643
