k_star_approve_pct,cutoff_pd_star,profit_at_kstar,profit_at_youden,approve_pct_youden,cutoff_gap,profit_uplift,profit_uplift_pct,category,anchor,op_cost_annual,mean_profit,total_profit,share_profit_gt_0
99.25500179611727,0.24115649957231752,64005254.47935589,46254338.05153088,79.5929842097865,19.662017586330776,17750916.427825004,0.38376760268516047,approve_all,realistic_central_boundary,0.0,997.6823893927665,63878610.34565066,0.9675605603885861
98.94419541755822,0.22042320452723216,52633226.52093514,37017734.580952965,79.5929842097865,19.351211207771726,15615491.939982176,0.4218381302030552,interior,realistic_central_boundary,0.01,819.0199123478892,52439387.9278983,0.9310915707435925
98.73803239258437,0.20824252411615796,41287322.933959015,27781131.110375047,79.5929842097865,19.14504818279788,13506191.823583968,0.48616421591775977,interior,realistic_central_boundary,0.02,640.3574353030119,41000165.51014595,0.8737720024364721
97.74001593077921,0.16338205122754543,18698210.033764847,9307924.16921921,79.5929842097865,18.147031720992715,9390285.864545636,1.0088485567597114,interior,realistic_central_boundary,0.04,283.0324812132575,18121720.674641237,0.5281209489746513
96.3343589423212,0.17058381391839214,69726500.49715763,61672347.97974006,79.5929842097865,16.74137473253471,8054152.517417572,0.13059584694364865,interior,moderate_interior,0.0,1061.4110813516647,67958967.30570304,0.9562372124260078
95.71899354959626,0.14842217490237605,58730400.92711867,52465172.057306916,79.5929842097865,16.12600933980977,6265228.869811751,0.11941691267053,interior,moderate_interior,0.01,884.733159787302,56646810.02170159,0.9462258109859902
94.87716119761976,0.1274138518232691,47805761.49549435,43257996.13487376,79.5929842097865,15.284176987833263,4547765.360620588,0.10513120733658458,interior,moderate_interior,0.02,708.0552382229395,45334652.73770014,0.9283271119996251
90.97099661080482,0.07740256182604653,26343896.784029625,24843644.290007465,79.5929842097865,11.378012401018324,1500252.4940221608,0.06038777872156171,interior,moderate_interior,0.04,354.69939509421414,22710338.169697247,0.804582441782373
84.89855842066628,0.07647511550153686,30788305.175141294,30332457.26777997,79.5929842097865,5.305574210879783,455847.9073613249,0.015028387029017263,interior,adverse_stress,0.0,304.52520424545867,19497835.252223983,0.6726537242100988
81.28289627813267,0.059712817870493914,21226255.361230094,21183782.54729589,79.5929842097865,1.6899120683461746,42472.81393420324,0.0020049683685799016,interior,adverse_stress,0.01,131.59061570974313,8425352.352047723,0.5919065394286785
74.72472550642698,0.038790972114036364,12223377.762969423,12035107.826811817,79.5929842097865,-4.8682587033595155,188269.93615760654,0.01564339421522911,interior,adverse_stress,0.02,-41.34397282597252,-2647130.5481285425,0.4816249394786574
0.3108063785590454,0.00015889852053214244,5010.175109730451,-6262241.614156337,79.5929842097865,-79.28217783122744,6267251.789266068,1.0008000609715224,reject_most,adverse_stress,0.04,-387.2131498974038,-24792096.348481074,0.19249691536383087
