k_star_approve_pct,cutoff_pd_star,profit_at_kstar,profit_at_youden,approve_pct_youden,cutoff_gap,profit_uplift,profit_uplift_pct,category,pd_variant,pd_variant_gini,anchor,mean_profit,share_profit_gt_0
100.0,0.19021191754313152,96107323.6305822,65355523.19950792,79.5929842097865,20.407015790213507,30751800.431074277,0.4705310113913343,approve_all,raw,0.8044304112874339,optimistic_base,1501.0436789257901,1.0
99.25500179611727,0.24115649957231752,64005254.47935589,46254338.05153088,79.5929842097865,19.662017586330776,17750916.427825004,0.38376760268516047,approve_all,raw,0.8044304112874339,realistic_central_boundary,997.6823893927665,0.9675605603885861
96.3343589423212,0.17058381391839214,69726500.49715763,61672347.97974006,79.5929842097865,16.74137473253471,8054152.517417572,0.13059584694364865,interior,raw,0.8044304112874339,moderate_interior,1061.4110813516647,0.9562372124260078
84.89855842066628,0.07647511550153686,30788305.175141294,30332457.26777997,79.5929842097865,5.305574210879783,455847.9073613249,0.015028387029017263,interior,raw,0.8044304112874339,adverse_stress,304.52520424545867,0.6726537242100988
98.14765645743202,0.4273129002436168,81030675.80696014,45060663.76912759,59.11880925234667,39.02884720508535,35970012.03783254,0.7982574828930211,interior,gini_30,0.30268626809732213,optimistic_base,1233.3163888686227,0.9814765645743202
96.00324862948443,0.24194384359400517,44999830.93931786,24329956.34306155,59.11880925234667,36.88443937713776,20669874.59625631,0.8495648041781616,interior,gini_30,0.30268626809732213,realistic_central_boundary,590.2977281985989,0.9221578396613929
94.41017070923205,0.1716241934879124,74420564.23875248,48192946.28260699,59.11880925234667,35.291361456885376,26227617.956145495,0.5442210941481936,interior,gini_30,0.30268626809732213,moderate_interior,1006.8718769282742,0.9414153404032674
90.72110203507896,0.07602079499248854,39867678.00864603,27190940.963017676,59.11880925234667,31.602292782732285,12676737.045628358,0.46621178218399845,interior,gini_30,0.30268626809732213,adverse_stress,318.1031564769103,0.7563215518453152
98.76146000905868,0.427274617055379,85534043.57290798,48345740.86417319,63.41543411373327,35.34602589532541,37188302.708734795,0.7692156960261486,interior,gini_45,0.4455860443627717,optimistic_base,1317.959341623745,0.9876146000905868
96.2172208599497,0.24173403699718532,49274187.1338706,26053463.878091782,63.41543411373327,32.801786746216436,23220723.25577882,0.8912720152848851,interior,gini_45,0.4455860443627717,realistic_central_boundary,679.5450911509986,0.9276086650944133
93.96036047292549,0.17193805418403194,72112111.71562839,51623540.45581674,63.41543411373327,30.544926359192218,20488571.259811647,0.39688427176642965,interior,gini_45,0.4455860443627717,moderate_interior,985.4084614488468,0.934433910693926
87.88636044168867,0.07801661330242753,36882426.08117665,28948605.826852188,63.41543411373327,24.470926327955397,7933820.254324466,0.27406571155026754,interior,gini_45,0.4455860443627717,adverse_stress,254.65509186427985,0.7233979414934325
99.27218204819842,0.4276982635409642,93394059.48882847,55200259.23675127,71.35271057522607,27.919471472972347,38193800.25207719,0.6919134217878544,approve_all,gini_60,0.6029580977891289,optimistic_base,1451.1445049027247,0.9927218204819842
96.15318537491996,0.23813635961796364,56829319.538275346,34604803.843679085,71.35271057522607,24.800474799693887,22224515.69459626,0.6422378752670141,interior,gini_60,0.6029580977891289,realistic_central_boundary,817.606575716336,0.9332469114592281
92.68433629562529,0.17173773381082802,67896069.59373926,56804537.461169794,71.35271057522607,21.331625720399217,11091532.132569462,0.19525785488793682,interior,gini_60,0.6029580977891289,moderate_interior,926.1339021000157,0.9183469473815734
82.04195105189999,0.0767258121003036,31719257.23597735,30069621.704039127,71.35271057522607,10.689240476673916,1649635.531938225,0.05486053493372138,interior,gini_60,0.6029580977891289,adverse_stress,118.6537143203041,0.661752073344058
