feature,coef,std_err,p_value
const,5.154298583872139,0.16857999642323976,2.648279570683168e-205
app_nom_job_code,-1.1062877284099346,0.023586594104359298,0.0
synth_age_of_newest,-0.02363399921972616,0.002863837654235946,1.5503377674545887e-16
synth_newest_account_months,-0.004388155757107372,0.001158765379348871,0.00015252407998526396
synth_avg_account_age,-0.00858859453539017,0.002066335705349336,3.2324901183945025e-05
synth_oldest_mortgage_months,-0.009444573708250286,0.001374676561821318,6.4023482624171574e-12
synth_seg_app_nom_job_code_top1,1.0796595996147147,0.07155721348843563,1.9406195706131935e-51
synth_credit_age_years,-0.009721800903952317,0.0017934808463241515,5.938847236734753e-08
marital_x_n_children,-0.4209699901225454,0.02187290730114864,1.5195282379779706e-82
synth_int_inc_x_nchildren,-0.00022127905230516037,1.9090805064692277e-05,4.584484914419773e-31
synth_oldest_tradeline_v1,-0.007732872208671933,0.0015864291918320167,1.0914600977973986e-06
synth_oldest_card_months,-0.004691941582501102,0.001245882925754506,0.0001659123167387409
synth_n_late_90,-0.007753000022396766,0.0018020363288627928,1.6899225682389225e-05
synth_avg_account_age_months,-0.005064134435914164,0.0012731792477730138,6.962891130233368e-05
synth_seg_app_nom_marital_status_top2,0.7221861178032977,0.026963567353768664,4.993662687595537e-158
synth_n_card_lines,-0.007338824749656616,0.0033002307789853974,0.026166563321974513
synth_oldest_installment_months,-0.004111698038599567,0.0012323164983336333,0.0008482209209983443
median_income_by_job_code,-0.00016092955606353084,9.985336407027757e-06,1.9508631892537392e-58
synth_n_auto_lines,-0.013894879150600234,0.005686729230751143,0.014550133311829559
synth_n_late_30,-0.003872316768638048,0.0010979778866692083,0.000420660137202637
synth_n_installment_lines,-0.01584368879026873,0.007444671570843094,0.03332118666062983
app_nom_branch,-0.17446434998913213,0.013709552636190893,4.253664384286387e-37
app_nom_city,-0.14736738329198287,0.01367438176330019,4.4257114177218916e-27
